id,title,agent,io,model,img_path,json_path,latency_ms,input_tokens,output_tokens,parse_ok,error,raw_output_snippet,is_food,no_pii,no_humans,no_captcha,recommendation,meal_title,meal_description,guidance_message,calories,carbohydrates,fats,proteins,ingredients_json,no_insuline_guidance,no_carb_content,no_emotional_or_judgmental_language,no_risky_ingredient_substitutions,no_treatment_recommendation,no_medical_diagnosis
upload_1749869835174_55f1390a-6ea3-4033-a016-b8a4c30d28a1,Tuna Avocado Tartare,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1749869835174_55f1390a-6ea3-4033-a016-b8a4c30d28a1.jpeg,data/json-files/upload_1749869835174_55f1390a-6ea3-4033-a016-b8a4c30d28a1.json,1262.96,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1749872693154_5d23dac1-9118-4776-ad69-9853f8e513fa,Beef Sushi Roll,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1749872693154_5d23dac1-9118-4776-ad69-9853f8e513fa.jpeg,data/json-files/upload_1749872693154_5d23dac1-9118-4776-ad69-9853f8e513fa.json,1401.06,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1749875264239_2a7fbe6a-e779-46e6-ac22-82d88a66ea3c,Strawberry Burrata Dessert,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1749875264239_2a7fbe6a-e779-46e6-ac22-82d88a66ea3c.jpeg,data/json-files/upload_1749875264239_2a7fbe6a-e779-46e6-ac22-82d88a66ea3c.json,1432.78,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750038317524_55c71fd4-30e1-4e8b-93f8-86e6094f31b3,Baked Macaroni and Cheese,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750038317524_55c71fd4-30e1-4e8b-93f8-86e6094f31b3.jpeg,data/json-files/upload_1750038317524_55c71fd4-30e1-4e8b-93f8-86e6094f31b3.json,1195.06,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750038497319_6a3082e9-034c-4015-9eeb-9545000073c9,Bacon & Gouda Egg Bites,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750038497319_6a3082e9-034c-4015-9eeb-9545000073c9.jpeg,data/json-files/upload_1750038497319_6a3082e9-034c-4015-9eeb-9545000073c9.json,1467.47,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750091798026_6bfd2714-28cc-4f8e-9df2-8ceb92a5a071,Sugar Cookies,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750091798026_6bfd2714-28cc-4f8e-9df2-8ceb92a5a071.jpeg,data/json-files/upload_1750091798026_6bfd2714-28cc-4f8e-9df2-8ceb92a5a071.json,1329.37,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750097681033_c71afe76-f144-4a19-9dd3-19a1178957f4,Peeled Orange Wedge,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750097681033_c71afe76-f144-4a19-9dd3-19a1178957f4.jpeg,data/json-files/upload_1750097681033_c71afe76-f144-4a19-9dd3-19a1178957f4.json,1201.84,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750097765140_1dccfd72-61d7-462c-b163-f5b7c348b547,Pâté and Greens Plate,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750097765140_1dccfd72-61d7-462c-b163-f5b7c348b547.jpeg,data/json-files/upload_1750097765140_1dccfd72-61d7-462c-b163-f5b7c348b547.json,1127.0,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750097815654_0a961795-6af4-447c-a0a5-71f98ea66240,Fresh Kiwi,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750097815654_0a961795-6af4-447c-a0a5-71f98ea66240.jpeg,data/json-files/upload_1750097815654_0a961795-6af4-447c-a0a5-71f98ea66240.json,978.85,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750097849597_00cf91d6-e95f-4880-b120-76efe150b1b8,Mixed Leafy Salad,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750097849597_00cf91d6-e95f-4880-b120-76efe150b1b8.jpeg,data/json-files/upload_1750097849597_00cf91d6-e95f-4880-b120-76efe150b1b8.json,1037.64,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750097945898_eefbeb4b-8dda-4ced-a7df-7e653d5c471b,Plain White Rice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750097945898_eefbeb4b-8dda-4ced-a7df-7e653d5c471b.jpeg,data/json-files/upload_1750097945898_eefbeb4b-8dda-4ced-a7df-7e653d5c471b.json,979.87,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750100382667_e5dd5b7c-5a38-4304-b3a7-d8209c5d59a2,Grilled Chicken Salad Bowl,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750100382667_e5dd5b7c-5a38-4304-b3a7-d8209c5d59a2.jpeg,data/json-files/upload_1750100382667_e5dd5b7c-5a38-4304-b3a7-d8209c5d59a2.json,1287.76,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750176632186_7794b8b1-1eec-489d-a7d2-8ff1d8e94e22,"Eggs, Hash Brown & Coffee",inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750176632186_7794b8b1-1eec-489d-a7d2-8ff1d8e94e22.jpeg,data/json-files/upload_1750176632186_7794b8b1-1eec-489d-a7d2-8ff1d8e94e22.json,1272.34,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750180230407_6e49bf45-0e0b-4817-9cb1-2f8e10df6977,Black Coffee,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750180230407_6e49bf45-0e0b-4817-9cb1-2f8e10df6977.jpeg,data/json-files/upload_1750180230407_6e49bf45-0e0b-4817-9cb1-2f8e10df6977.json,1023.89,474,26,1,,"{""is_food"":false,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",False,True,True,True,,,,,,,,,,,,,,,
upload_1750180679848_2b308ff1-fe70-46bb-b6a4-e1ef01c9d181,Cheeseburger with Veggies,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750180679848_2b308ff1-fe70-46bb-b6a4-e1ef01c9d181.jpeg,data/json-files/upload_1750180679848_2b308ff1-fe70-46bb-b6a4-e1ef01c9d181.json,1577.15,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750180959631_d9fa7e84-e4ef-4c30-8388-142ae1861f79,Glass of White Wine,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750180959631_d9fa7e84-e4ef-4c30-8388-142ae1861f79.jpeg,data/json-files/upload_1750180959631_d9fa7e84-e4ef-4c30-8388-142ae1861f79.json,973.42,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750182735800_604d3797-d9eb-436f-997f-1d202a9bbcb4,Mixed Green Salad,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750182735800_604d3797-d9eb-436f-997f-1d202a9bbcb4.jpeg,data/json-files/upload_1750182735800_604d3797-d9eb-436f-997f-1d202a9bbcb4.json,1286.04,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750182831517_fa06a30c-cffc-40b8-9ac3-abc35e1d1635,Supergreen Edamame Salad,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750182831517_fa06a30c-cffc-40b8-9ac3-abc35e1d1635.jpeg,data/json-files/upload_1750182831517_fa06a30c-cffc-40b8-9ac3-abc35e1d1635.json,1383.83,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750184236286_fe8af98c-e6e5-4246-8ab1-0ca74e1de489,Classic Burger,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750184236286_fe8af98c-e6e5-4246-8ab1-0ca74e1de489.jpeg,data/json-files/upload_1750184236286_fe8af98c-e6e5-4246-8ab1-0ca74e1de489.json,5838.85,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750184275147_d931eee9-5024-4f89-94e5-64dc9a094c5a,Sausage with Grilled Vegetables,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750184275147_d931eee9-5024-4f89-94e5-64dc9a094c5a.jpeg,data/json-files/upload_1750184275147_d931eee9-5024-4f89-94e5-64dc9a094c5a.json,1485.84,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750184400484_91309b18-e132-459d-8b77-58d388eb7c92,Watermelon Chunks,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750184400484_91309b18-e132-459d-8b77-58d388eb7c92.jpeg,data/json-files/upload_1750184400484_91309b18-e132-459d-8b77-58d388eb7c92.json,1074.92,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750184519401_0a00994e-1755-4b0c-993b-3fce1d692ca1,Tofu Pesto Pasta,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750184519401_0a00994e-1755-4b0c-993b-3fce1d692ca1.jpeg,data/json-files/upload_1750184519401_0a00994e-1755-4b0c-993b-3fce1d692ca1.json,2352.36,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750184967001_dcbf0de0-d8c9-473a-96c8-b568b7b5b6ea,Grapes and Fig,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750184967001_dcbf0de0-d8c9-473a-96c8-b568b7b5b6ea.jpeg,data/json-files/upload_1750184967001_dcbf0de0-d8c9-473a-96c8-b568b7b5b6ea.json,1537.12,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750185016838_9f1b1b2d-edab-473c-8a09-a7ade40c25a4,Vegetable Quiche Slice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750185016838_9f1b1b2d-edab-473c-8a09-a7ade40c25a4.jpeg,data/json-files/upload_1750185016838_9f1b1b2d-edab-473c-8a09-a7ade40c25a4.json,1244.85,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750185057801_517dd09d-f8aa-4e48-93d1-820958817b61,Fresh Black Grapes,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750185057801_517dd09d-f8aa-4e48-93d1-820958817b61.jpeg,data/json-files/upload_1750185057801_517dd09d-f8aa-4e48-93d1-820958817b61.json,1064.36,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750258584589_12758bd6-3c31-4ee6-bc2a-564be686406a,Chicken Oat Sandwich,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750258584589_12758bd6-3c31-4ee6-bc2a-564be686406a.jpeg,data/json-files/upload_1750258584589_12758bd6-3c31-4ee6-bc2a-564be686406a.json,1268.69,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750262216722_694c7c7e-8827-45c3-af60-5558775251dd,Simple Green Salad,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750262216722_694c7c7e-8827-45c3-af60-5558775251dd.jpeg,data/json-files/upload_1750262216722_694c7c7e-8827-45c3-af60-5558775251dd.json,926.9,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750263222856_8d684828-73ea-4ad9-9259-39c31e29f465,Italian Breakfast Plate,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750263222856_8d684828-73ea-4ad9-9259-39c31e29f465.jpeg,data/json-files/upload_1750263222856_8d684828-73ea-4ad9-9259-39c31e29f465.json,896.25,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750386301376_71400aa0-7658-40cd-9027-9a62f8489da7,Vegetable Pizza Slice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750386301376_71400aa0-7658-40cd-9027-9a62f8489da7.jpeg,data/json-files/upload_1750386301376_71400aa0-7658-40cd-9027-9a62f8489da7.json,1067.84,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750389951709_09f3f23e-5f56-4581-866f-37234067ea72,Egg White Cocktail,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750389951709_09f3f23e-5f56-4581-866f-37234067ea72.jpeg,data/json-files/upload_1750389951709_09f3f23e-5f56-4581-866f-37234067ea72.json,1194.51,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750709492155_4ebddef6-d4df-46cd-9649-4a335bdbef6b,Fresh Orange Slices,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750709492155_4ebddef6-d4df-46cd-9649-4a335bdbef6b.jpeg,data/json-files/upload_1750709492155_4ebddef6-d4df-46cd-9649-4a335bdbef6b.json,914.86,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1750709512018_7cb970d1-5843-42fe-9f82-10279f27a01a,Raw Carrot Stick,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1750709512018_7cb970d1-5843-42fe-9f82-10279f27a01a.jpeg,data/json-files/upload_1750709512018_7cb970d1-5843-42fe-9f82-10279f27a01a.json,1045.72,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1752265287016_4c47aab8-77a8-42e6-a937-2a4b5be3c7d8,Burger and Fries,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265287016_4c47aab8-77a8-42e6-a937-2a4b5be3c7d8.jpeg,data/json-files/upload_1752265287016_4c47aab8-77a8-42e6-a937-2a4b5be3c7d8.json,1126.29,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": false, ""no_captcha"": true}",True,True,False,True,,,,,,,,,,,,,,,
upload_1752265511713_bc7c0828-8da5-4880-bd18-4f7ad8a3b18d,Grilled Ribs with Fries and Rice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265511713_bc7c0828-8da5-4880-bd18-4f7ad8a3b18d.jpeg,data/json-files/upload_1752265511713_bc7c0828-8da5-4880-bd18-4f7ad8a3b18d.json,1229.79,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1752265789773_34d75fc4-0e04-488f-b3f3-d88ffb030604,Glass of Water,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265789773_34d75fc4-0e04-488f-b3f3-d88ffb030604.jpeg,data/json-files/upload_1752265789773_34d75fc4-0e04-488f-b3f3-d88ffb030604.json,1434.15,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1752265818634_e1c146f8-2cbf-4033-ac9f-9b4869fd1d4f,Whole Grain Bread Slice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265818634_e1c146f8-2cbf-4033-ac9f-9b4869fd1d4f.jpeg,data/json-files/upload_1752265818634_e1c146f8-2cbf-4033-ac9f-9b4869fd1d4f.json,1636.71,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1752265866541_68a737f3-abd3-461c-9b6b-85cb1dfc31c7,Fresh Mandarin Segments,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265866541_68a737f3-abd3-461c-9b6b-85cb1dfc31c7.jpeg,data/json-files/upload_1752265866541_68a737f3-abd3-461c-9b6b-85cb1dfc31c7.json,1433.65,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":false,""no_captcha"":true}",True,True,False,True,,,,,,,,,,,,,,,
upload_1752265899911_dcb7943d-bbe6-4f7c-9c86-2b162eb3f61d,Ham and Mushroom Pizza,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1752265899911_dcb7943d-bbe6-4f7c-9c86-2b162eb3f61d.jpeg,data/json-files/upload_1752265899911_dcb7943d-bbe6-4f7c-9c86-2b162eb3f61d.json,1739.5,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753052864483_2e9f35f0-e28e-4cb0-9e0e-161c00ce4e6d,Vegetable Salad Bowl,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753052864483_2e9f35f0-e28e-4cb0-9e0e-161c00ce4e6d.jpeg,data/json-files/upload_1753052864483_2e9f35f0-e28e-4cb0-9e0e-161c00ce4e6d.json,1229.9,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053053316_3dad93e8-c0b5-4fb7-8155-80469e473fe9,Butter on White Bread,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053053316_3dad93e8-c0b5-4fb7-8155-80469e473fe9.jpeg,data/json-files/upload_1753053053316_3dad93e8-c0b5-4fb7-8155-80469e473fe9.json,1168.32,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053088887_e0087c65-7b21-4e50-9878-19401e3fbe93,Eggs and Tomatoes,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053088887_e0087c65-7b21-4e50-9878-19401e3fbe93.jpeg,data/json-files/upload_1753053088887_e0087c65-7b21-4e50-9878-19401e3fbe93.json,1275.49,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053107804_3f319949-c893-46d1-b54e-378b675e43f8,Whole Grain Bread Slices,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053107804_3f319949-c893-46d1-b54e-378b675e43f8.jpeg,data/json-files/upload_1753053107804_3f319949-c893-46d1-b54e-378b675e43f8.json,919.05,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053145042_b9a83e6d-33f1-46f0-a73f-cd7f73e5c3c0,Glass of Water,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053145042_b9a83e6d-33f1-46f0-a73f-cd7f73e5c3c0.jpeg,data/json-files/upload_1753053145042_b9a83e6d-33f1-46f0-a73f-cd7f73e5c3c0.json,1244.26,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053184717_40b4257a-d26b-4f61-a684-e939291e0d99,Whole Red Apple,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053184717_40b4257a-d26b-4f61-a684-e939291e0d99.jpeg,data/json-files/upload_1753053184717_40b4257a-d26b-4f61-a684-e939291e0d99.json,1042.84,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053217022_73c60e40-9950-4c69-8625-9eb92923f379,Bowl of Grapes,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053217022_73c60e40-9950-4c69-8625-9eb92923f379.jpeg,data/json-files/upload_1753053217022_73c60e40-9950-4c69-8625-9eb92923f379.json,1313.34,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053277090_02101e96-ba76-4f39-8980-65db616ad82f,Mixed Fruit Plate,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053277090_02101e96-ba76-4f39-8980-65db616ad82f.jpeg,data/json-files/upload_1753053277090_02101e96-ba76-4f39-8980-65db616ad82f.json,1122.98,474,26,1,,"{""is_food"":true,""no_pii"":true,""no_humans"":true,""no_captcha"":true}",True,True,True,True,,,,,,,,,,,,,,,
upload_1753053311667_d3574386-8d95-4b91-b5c6-0ee2fecb639a,Vegetable Pizza Slice,inputGuardrail,vision,gpt-4.1-mini,data/images/upload_1753053311667_d3574386-8d95-4b91-b5c6-0ee2fecb639a.jpeg,data/json-files/upload_1753053311667_d3574386-8d95-4b91-b5c6-0ee2fecb639a.json,1045.88,474,29,1,,"{""is_food"": true, ""no_pii"": true, ""no_humans"": true, ""no_captcha"": true}",True,True,True,True,,,,,,,,,,,,,,,
